"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Reporting starts","Reporting ends"
,,,,,,175498,261963,1.49268368,,mixed,,131868,,,,0.5767941,1.34711779,17.68853119,503.38406569,3066.69767442,43,7455,19.76735122,1735.10526316,2060.4375,3192,41.31203008,42.81690141,6671,3.80118292,2026-01-01,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities","JD Konnichiwa Video - Copy",2026-01-15,active,ad,7776,7776,1,"7-day click or 1-day view","Landing page views",368,2654,7.21195652,2026-01-09,Ongoing,0.24813896,0.27173913,6.58560794,341.30658436,2654,1,403,6.75318066,1327,2654,368,7.21195652,91.31513648,393,5.05401235,2026-01-15,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities","JD announcement date post",2026-01-15,active,ad,728,763,1.04807692,"7-day click or 1-day view","Landing page views",14,167,11.92857143,2026-01-09,Ongoing,0,0,7.95238095,218.87287025,,,21,8.35,,,14,11.92857143,66.66666667,20,2.74725275,2026-01-15,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities","JD Photography - Copy 2",2026-01-15,active,ad,12,13,1.08333333,"7-day click or 1-day view",,,5,,2026-01-09,Ongoing,0,0,,384.61538462,,,,,,,,,0,,,2026-01-15,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)",Poster,2026-01-15,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-19,0,100,,,0,1,,,0,0,1,0,0,,,2026-01-15,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities","Black and white photo",2026-01-15,active,ad,307,324,1.05537459,"7-day click or 1-day view","Landing page views",9,80,8.88888889,2026-01-09,Ongoing,0,0,6.66666667,246.91358025,,,12,6.66666667,,,9,8.88888889,75,12,3.90879479,2026-01-15,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","JD Photograph with graphics - Copy",2026-01-15,active,ad,1,1,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,,,0,,,2026-01-15,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Painting Video - Copy",2026-01-15,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2025-12-06,2026-01-19,0,0,,,,,,,0,0,,,0,,,2026-01-15,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities","JD Painting with Graphic - Copy",2026-01-15,active,ad,4,4,1,"7-day click or 1-day view",,,1,,2026-01-09,Ongoing,0,0,,250,,,,,,,,,0,,,2026-01-15,2026-01-15
"ABOS Sales 2.0",Lookalikes+Engagers,"T-Shirt Promo [Post]",2026-01-15,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2026-01-09,Ongoing,0,0,,,0,1,,,,0,,,0,,,2026-01-15,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Pose with Graphic",2026-01-14,not_delivering,ad,996,1086,1.09036145,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,836,836,2025-12-06,2026-01-19,16.66666667,20,139.33333333,769.79742173,836,1,6,139.33333333,418,278.66666667,5,167.2,83.33333333,6,0.60240964,2026-01-14,2026-01-14
"ABOS Sales Campaign","Zaiko + InBound (English)","Opening Weekend Video - Copy",2026-01-14,not_delivering,ad,1100,1322,1.20181818,"7-day click, 1-day view, or 1-day engaged-view",,,1057,,2025-12-06,2026-01-19,0,0,24.02272727,799.54614221,,,44,33.03125,,528.5,27,39.14814815,61.36363636,32,2.90909091,2026-01-14,2026-01-14
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD Painting Video - Copy",2026-01-14,not_delivering,ad,45,46,1.02222222,"7-day click, 1-day view, or 1-day engaged-view",,,27,,2025-12-06,2026-01-19,0,0,27,586.95652174,,,1,27,,,1,27,100,1,2.22222222,2026-01-14,2026-01-14
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD sitting desk",2026-01-14,not_delivering,ad,255,275,1.07843137,"7-day click, 1-day view, or 1-day engaged-view",,,253,,2025-12-06,2026-01-19,0,0,253,920,,,1,253,,,1,253,100,1,0.39215686,2026-01-14,2026-01-14
"ABOS Traffic 2.0","JD Deep Interest","JD announcement date post",2026-01-14,active,ad,1,1,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,,,0,,,2026-01-14,2026-01-14
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","JD announcement date post",2026-01-14,active,ad,4,4,1,"7-day click or 1-day view",,,2,,2026-01-09,Ongoing,0,0,,500,,,,,,,,,0,,,2026-01-14,2026-01-14
"ABOS Traffic 2.0","Broad JP Cities","JD with Skull Confetti - Copy",2026-01-14,active,ad,2,2,1,"7-day click or 1-day view","Landing page views",1,0,0,2026-01-09,Ongoing,0,0,0,0,,,1,0,,,1,0,100,1,50,2026-01-14,2026-01-14
"ABOS Sales Campaign","Zaiko + InBound (English)","Immersive Journey [Post] - Copy",2026-01-14,not_delivering,ad,20,20,1,"7-day click, 1-day view, or 1-day engaged-view",,,8,,2025-12-06,2026-01-19,0,0,,400,,,,,,,,,0,,,2026-01-14,2026-01-14
"ABOS Traffic 2.0","Broad JP Cities","Black and white photo",2026-01-14,active,ad,150,150,1,"7-day click or 1-day view","Landing page views",7,29,4.14285714,2026-01-09,Ongoing,0,0,3.625,193.33333333,,,8,4.14285714,,,7,4.14285714,87.5,7,4.66666667,2026-01-14,2026-01-14
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","Poster [Redirect link]",2026-01-14,not_delivering,ad,99,109,1.1010101,"7-day click, 1-day view, or 1-day engaged-view",,,64,,2025-12-06,2026-01-19,0,0,,587.1559633,,,,,,,,,0,,,2026-01-14,2026-01-14
"ABOS Traffic 2.0","Broad JP Cities","Hanging sketches - Copy",2026-01-14,active,ad,3,3,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,,,0,,,2026-01-14,2026-01-14
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","Black and white photo",2026-01-14,active,ad,1,1,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,,,0,,,2026-01-14,2026-01-14
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Spray Painting Ground - Copy",2026-01-14,not_delivering,ad,41,41,1,"7-day click, 1-day view, or 1-day engaged-view",,,50,,2025-12-06,2026-01-19,0,0,,1219.51219512,,,,,,,,,0,,,2026-01-14,2026-01-14
"ABOS Sales Campaign","Zaiko + InBound (English)","Poster [Redirect link]",2026-01-14,not_delivering,ad,1034,1165,1.12669246,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,801,400.5,2025-12-06,2026-01-19,18.18181818,25,72.81818182,687.55364807,400.5,2,11,80.1,400.5,801,8,100.125,72.72727273,10,0.96711799,2026-01-14,2026-01-14
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Konnichiwa Video",2026-01-14,not_delivering,ad,486,549,1.12962963,"7-day click, 1-day view, or 1-day engaged-view",,,541,,2025-12-06,2026-01-19,0,0,45.08333333,985.428051,,,12,60.11111111,,,9,60.11111111,75,9,1.85185185,2026-01-14,2026-01-14
"ABOS Sales Campaign","Zaiko + InBound (English)","AR Experience [Post] - Copy",2026-01-14,not_delivering,ad,298,321,1.07718121,"7-day click, 1-day view, or 1-day engaged-view",,,282,,2025-12-06,2026-01-19,0,0,35.25,878.5046729,,,8,40.28571429,,,5,56.4,62.5,7,2.34899329,2026-01-14,2026-01-14
"ABOS Sales Campaign","Zaiko + InBound (English)","Poster [Redirect link] + related Media",2026-01-14,not_delivering,ad,152,169,1.11184211,"7-day click, 1-day view, or 1-day engaged-view",,,152,,2025-12-06,2026-01-19,0,0,,899.40828402,,,,,,152,,,0,,,2026-01-14,2026-01-14
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","Coming of Age [Post]",2026-01-14,not_delivering,ad,12,13,1.08333333,"7-day click, 1-day view, or 1-day engaged-view",,,8,,2025-12-06,2026-01-19,0,0,,615.38461538,,,,,,,,,0,,,2026-01-14,2026-01-14
"ABOS Sales Campaign","Zaiko + InBound (English)",Poster,2026-01-14,not_delivering,ad,675,792,1.17333333,"7-day click, 1-day view, or 1-day engaged-view",,,555,,2025-12-06,2026-01-19,0,0,32.64705882,700.75757576,,,17,50.45454545,,,10,55.5,58.82352941,11,1.62962963,2026-01-14,2026-01-14
"ABOS Traffic 2.0","Broad JP Cities","JD announcement date post",2026-01-14,active,ad,302,304,1.00662252,"7-day click or 1-day view","Landing page views",6,55,9.16666667,2026-01-09,Ongoing,0,0,5.5,180.92105263,,,10,5.5,,,6,9.16666667,60,10,3.31125828,2026-01-14,2026-01-14
"ABOS Sales Campaign","Zaiko + InBound (English)","Viewing Bunnyman - Red [Post] - Copy",2026-01-14,not_delivering,ad,42,43,1.02380952,"7-day click, 1-day view, or 1-day engaged-view",,,42,,2025-12-06,2026-01-19,0,0,,976.74418605,,,,,,,,,0,,,2026-01-14,2026-01-14
"ABOS Sales Campaign","Zaiko + InBound (English)","Coming of Age [Post] - Copy",2026-01-14,not_delivering,ad,13,13,1,"7-day click, 1-day view, or 1-day engaged-view",,,23,,2025-12-06,2026-01-19,0,0,,1769.23076923,,,,,,,,,0,,,2026-01-14,2026-01-14
"ABOS Traffic 2.0","Broad JP Cities","JD Konnichiwa Video - Copy",2026-01-14,active,ad,6434,6519,1.01321107,"7-day click or 1-day view","Landing page views",326,1793,5.5,2026-01-09,Ongoing,0,0,4.5974359,275.04218438,,,390,4.87228261,,,326,5.5,83.58974359,368,5.71961455,2026-01-14,2026-01-14
